,0
10,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]]"
11,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]]"
12,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]]"
13,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]]"
14,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]]"
15,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]]"
16,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]]"
17,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06752783 0.48266742 0.11058251]]"
18,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06752783 0.48266742 0.11058251]
 [0.06231539 0.52726917 0.28087074]]"
19,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06752783 0.48266742 0.11058251]
 [0.06231539 0.52726917 0.28087074]
 [0.0630438  0.52270296 0.09110479]]"
