,0,1,2
0,[1 0 0],[0.07620187 0.28347952 0.06576773],455
1,[1 0 1],[0.08003101 0.270325   0.07524412],256
2,[0.  0.5 0.5],[0.08003101 0.270325   0.07524412],256
3,[0 1 0],[0.0585464  0.5314023  0.04404959],108
4,[1 1 0],[0.05940845 0.52095176 0.04228274],103
5,[0 0 1],[0.05365472 0.60816088 0.33393395],11
6,[0 1 1],[0.05365472 0.60816088 0.33393395],11
